In frame 129, True Prediction: dissector
In frame 164, False Prediction: grasper should be dissector
In frame 164, False Prediction: dissector should be No Instrument
In frame 317, False Prediction: grasper should be dissector
In frame 317, False Prediction: grasper should be No Instrument
In frame 317, False Prediction: dissector should be No Instrument
In frame 347, False Prediction: grasper should be dissector
In frame 347, False Prediction: dissector should be No Instrument
In frame 385, True Prediction: dissector
In frame 385, False Prediction: grasper should be No Instrument
In frame 402, True Prediction: dissector
In frame 402, False Prediction: grasper should be No Instrument
In frame 402, False Prediction: dissector should be No Instrument
In frame 451, False Prediction: dissector should be grasper_1
In frame 451, False Prediction: grasper should be No Instrument
In frame 484, True Prediction: grasper
In frame 484, False Prediction: grasper should be No Instrument
In frame 555, True Prediction: grasper_2
In frame 555, False Prediction: dissector should be No Instrument
In frame 583, True Prediction: grasper
In frame 583, False Prediction: grasper should be No Instrument
In frame 599, False Prediction: grasper should be dissector
In frame 599, False Prediction: dissector should be No Instrument
In frame 620, False Prediction: grasper should be dissector
In frame 644, True Prediction: dissector
In frame 644, False Prediction: grasper should be No Instrument
In frame 644, False Prediction: dissector should be No Instrument
In frame 657, True Prediction: dissector
In frame 657, False Prediction: dissector should be No Instrument
In frame 657, False Prediction: grasper should be No Instrument
In frame 680, False Prediction: grasper should be dissector
In frame 680, False Prediction: dissector should be No Instrument
In frame 691, True Prediction: dissector
In frame 691, False Prediction: grasper should be No Instrument
In frame 823, False Prediction: grasper should be dissector
In frame 823, False Prediction: dissector should be No Instrument
In frame 841, False Prediction: grasper should be dissector
In frame 841, False Prediction: dissector should be No Instrument
In frame 863, False Prediction: grasper should be No Instrument
In frame 863, False Prediction: dissector should be No Instrument
In frame 886, False Prediction: dissector should be grasper_1
In frame 886, False Prediction: grasper should be No Instrument
In frame 927, True Prediction: dissector
In frame 927, False Prediction: grasper should be No Instrument
In frame 940, False Prediction: grasper should be dissector
In frame 1010, False Prediction: grasper should be dissector
In frame 1010, False Prediction: dissector should be No Instrument
In frame 1040, False Prediction: grasper_2 should be dissector
In frame 1040, False Prediction: grasper should be No Instrument
In frame 1068, False Prediction: grasper should be dissector
In frame 1068, False Prediction: grasper_2 should be No Instrument
In frame 1183, False Prediction: grasper should be dissector
In frame 1183, False Prediction: grasper should be No Instrument
In frame 1195, False Prediction: grasper should be dissector
